TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10864012-S,1554.7,5101.7,2733.9,4566.4,2140.3,3206.6,6708.3,5139.2,5853.8,4667.5,2900.8,5686.2,2441.8,1447.8,5530,5438.2,6506,10484.9,7022,6001.2,7464,2690,4825,4253.8,2818.3,3756.7,3275.6,5382,4905.5,2020.2,2267.3,7555.5,6696.6,5293,1842.9,2653.8,3430.8,3135.8,3569.4,5377.8
GI_10864016-S,302.6,256.4,163.9,266.6,414.7,306.3,318.8,321.6,244,279.9,416.2,211.5,399.3,573.9,240,258.3,265.8,286.5,359.1,287.1,220.8,396,241.1,344.1,453.9,232.9,286.3,316.8,326.1,441,407.2,395.6,434.4,248,346.5,262.9,321.8,285.5,384.9,185.6
GI_10864022-S,154.6,178.8,130.3,171.6,239.4,173,213.9,161.9,145.2,195.8,193.3,178.6,153.2,244,138.2,129.7,145.1,84.7,146.6,125.3,145.1,199.1,178.9,181.4,213.3,108.1,151.7,158.6,114.9,208.4,220,176.2,183.9,159.7,189.2,193.7,188.9,195.6,230.6,90
GI_10864024-S,99.6,67.5,NaN,52,83.8,74.8,78.2,63.4,59.2,80.6,108.1,57.4,66.1,139.8,42.5,71.5,NaN,NaN,65.9,50.5,NaN,107.4,46,94.8,128.8,NaN,68.7,71.3,55.3,95.9,58.1,42.1,53.1,75,78.5,66.2,63.6,NaN,109.4,NaN
GI_10864030-S,4940.5,6637,12322.2,6248.7,2281.7,3932.6,10408.4,7765.6,8843.2,5228.5,3671,7304.4,7703,2473.3,5937.7,9439.1,7411.6,10074.3,7999.8,8292.7,7679.4,4803.3,5000.6,4573.5,4680.1,7539.8,7748.7,9122.2,6064.8,2650.2,4231.9,13379.6,8480.3,6197.1,4808.2,5511.8,5417.2,7630.6,5741,11286.8
GI_10864046-S,38.2,NaN,46.2,49.6,65.2,56.6,52.5,47,67.7,45.1,42.1,91.1,87.6,55.3,45.6,66.3,NaN,NaN,NaN,46.5,NaN,57.1,63.2,82.7,48.1,72.9,43.4,52.4,67,50,50.5,NaN,NaN,42.5,58.1,44,52,NaN,57.1,NaN
GI_10864649-S,801.2,563.3,750,710.5,591.4,631.3,290.9,306.9,354,436.4,728.1,641.1,1135.1,733.1,469.4,636.1,337.7,350.2,328.7,463.7,374.1,597.7,545.7,436.8,486.9,773.4,610.5,433,699.9,615.3,580.7,615.7,695.3,505.4,876.4,742.8,631,608.2,308.2,434.3
GI_10880123-A,284.5,224.6,288.3,220.6,230.7,279,207.6,160,130.2,178.3,199.6,222.4,357.6,276.1,203.2,195.6,135.8,168.4,182.2,232.6,232.6,285.3,196.9,223.6,200.6,284,205.5,204.2,236.8,291,219.6,177.3,209.2,197.3,253.3,221.2,237.4,206,193.1,115.1
GI_10938009-A,170.6,182.2,190.2,155.9,105.4,160.3,156.9,153.3,138.7,156.5,154,247.2,197.1,120.1,150.5,190.2,163,162.4,186,189.2,213.3,134,164.5,110.9,106.3,210.3,142.9,134.5,151.2,164.8,131.7,199.5,157.5,180.3,129.7,179.2,165.9,132.9,148.8,203.9
GI_10938012-S,91.9,110.2,158.5,125.7,59.3,98.9,103.1,80.5,92.6,90.2,115.6,108.3,150,75.6,99.7,83.7,NaN,NaN,107.6,94.3,80,140.2,121.1,121.2,133.8,119.6,128.4,103.2,74,87.6,74.8,75.3,75.4,96.9,80.3,101.2,82.2,80,70.6,NaN
GI_10938013-S,8005.3,13152.9,16486.6,13116.3,5842.4,8653.2,12657.2,10233,13843.6,15399,8726.1,13556.1,7264.8,4693.3,13658.8,17011.8,15643.4,12073.1,14363.8,13934.2,15099.2,9146.3,12274.3,12597.5,7755.6,13599,11545.9,11739.3,9508.2,5563,6235.6,9621.4,7816.6,10093.6,6857.9,7901.4,8253.8,13073.8,6784,14400.4
GI_10938020-S,709.2,482.7,591.4,737.7,948.2,725.2,263.7,388.1,374.1,384.6,644.5,624.5,965.6,540.8,585.2,482.7,339.2,242.2,285.3,349.3,359.3,828.6,454.4,706.4,459.6,702.3,684.1,385.7,730.9,705.9,655,478.4,368.9,504.7,835.3,536.8,615.7,629.8,397.1,360
